ID,Name in English,Name in French,Name in Spanish,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Sources,Latitude,Longitude,Description of the location
1022,South Italian,italien du sud,napolitano-calabrés,Italy,ITA,nap,Vulnerable,Neapolitan; Neapolitan-Calabrese; неаполитанский; неаполитанско-калабрийский,,7500000,,40.9798,15.249,"Campania, Lucania (Basilicata), Abruzzi (Abruzzo), Molise, northern Calabria, northern and central Apulia (Puglia), southern Lazio and Marche as well as easternmost Umbria"
1023,Sicilian,sicilien,siciliano,Italy,ITA,scn,Vulnerable,,,5000000,,37.4399,14.5019,"Sicily (Sicilia), southern and central Calabria and southern Apulia (Puglia); a large number of émigré communities"
383,Low Saxon,bas-saxon,bajo sajón,"Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS","act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,"Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch ",Neddersassisch,4800000,,53.4029,10.3601,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere"
335,Belarusian,biélorusse,bielorruso,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",bel,Vulnerable,,,4000000,"Hienadź Cychun: Weißrussisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 563–579.",53.956,27.5756,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries
382,Lombard,lombard,lombardo,"Italy, Switzerland","ITA, CHE",lmo,Definitely endangered,,,3500000,,45.7215,9.3273,"the region of Lombardy (except the southernmost border areas) and the Novara province in Piedmont, Italy; Ticino Canton and the Mesolcina District and two districts south of St. Moritz in Graubünden (Grigioni), Switzerland"
405,Romani,romani,romaní,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE","rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",,3500000,"Yaron Matras: Romani: a linguistic introduction. Cambridge: Cambridge University Press,  2002.",46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans"
2211,Yiddish (Israel),yiddish (Israël),yiddish (Israel),Israel,ISR,ydd,Definitely endangered,Judeo-German,,3000000,"Neil G. Jacobs: Yiddish: a linguistic introduction. Cambridge: Cambridge University Press, 2005.",32.0833,34.8333,"most speakers now live outside Europe, mainly in North America and Israel; cf. Yiddish (Europe)"
1586,Gondi,gondi,gondí,India,IND,gon,Vulnerable,"Gondi; Gaudi; Gondiva; Gondwadi; Goondile; Goudwal; Ghond; Godi; Gondu; Goudi
",,2713790,,19.5804,80.4418,"Madhya Pradesh (Betul, Chhindwara, Seoni, Mandla, Balaghat), Maharashtra (Amravati, Wardha, Nagpur, Bhandara, Yavatmal); also in Andhra Pradesh and Orissa"
1020,Limburgian-Ripuarian,francique ripuaire -limbourgeois,limburgués-ripuarino,"Germany, Belgium, Netherlands","DEU, BEL, NLD","ksh, lim",Vulnerable,Colognian (dialect; in German: Kölsch),,2600000,,50.7781,6.0864,Limburg provinces in Belgium and the Netherlands and Rhineland in Germany
1943,Quechua of Southern Bolivia,quechua bolivien du sud,quechua boliviano meridional,Bolivia (Plurinational State of),BOL,quh,Vulnerable,,,2300000,,-18.0675,-65.7641,"Departments of Cochabamba, Chuquisaca, Potosí and Oruro in Bolivia."
1565,Kumaoni,kumaoni,cumauní,"India, Nepal","IND, NPL",kfy,Vulnerable,Kumauni; Kamaoni; Kumau; Kumawani; Kumgoni,,2003783,,29.4778,79.8486,"Uttarakhand, also in Uttar Pradesh, Madhya Pradesh, Assam and Bihar; also in Nepal"
755,Aymara,aymara,aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER","ayc, ayr",Vulnerable,"Aimara, Jaqi Aru, Southern Aymara.",,2000000,www.inei.gob.pe para  aymara en el Perú (Censo de 2007).,-16.5835,-68.302,"Departamentos  de Puno,  Moquegua y Tacna, en el Perú. Area del lago Titicaca, donde se  incluye también el Altiplano boliviano.
In Bolivia: departments of La Paz, Oruro, Potosí and Cochabamba.
In Chile: Province of Tarapacá (interior of Arica, Iquique)."
349,Emilian-Romagnol,émilien-romagnol,emiliano,"Italy, San Marino","ITA, SMR",eml,Definitely endangered,,,2000000,,44.127,12.0739,"the region of Emilia-Romagna, parts of the provinces of Pavia, Voghera, and Mantua in southern Lombardy, the Lunigiana district in northwestern Tuscany, the Pesaro-Urbino province in the region of Marche and the Republic of San Marino"
399,Piedmontese,piémontais,piamontés,Italy,ITA,pms,Definitely endangered,,,2000000,,45.2013,7.8662,"Piedmont Region except the Novara Province, the western Alpine valleys and southern border areas, as well as minor adjacent areas"
1021,Venetan,vénitien,veneciano,"Croatia, Italy, Slovenia","HRV, ITA, SVN",vec,Vulnerable,,,2000000,http://www.elgalepin.com/,45.4601,12.1948,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia"
1985,Zazaki,zazaki,zaza,Turkey,TUR,zza,Vulnerable,Zaza; Dimli; Kirmanjki,,2000000,"Ludwig Paul: Zazaki: Grammatik und Versuch einer Dialektologie. Beiträge zur Iranistik 18; Wiesbaden: Reichert, 1998.
http://www.ethnologue.com/show_language.asp?code=zza
http://www.zazaki.de/englisch/index.htm

",38.8824,40.4846,"Tunceli, Erzincan, Elazığ and Bingöl provinces, Hınıs district of Erzurum Province, the eastern parts of Sivas Province, Varto district of Muş Province, Sarız district of Kayseri Province, the northern and western parts of Diyarbakır Province, Siverek district of Şanlıurfa Province as well as small areas in adjacent provinces. Many immigrants in Europe."
1591,Kurux (India),kurux (Inde),kuruj (India),India,IND,kru,Vulnerable,Kurukh; Oraon,,1751489,,22.1467,85.2758,Jharkhand and Bihar
2065,Tamajeq,tamajeq,tamacheq tahoua,Niger,NER,thz,Vulnerable,,,1750000,"Tuareg organisations (eg Temoust, Lyon see websites)
Data presented numerous times at UN Commission / Council for Human Rights",17.2352,8.0859,
1585,Tulu,tulu,tulú,India,IND,tcy,Vulnerable,"Tuluva Bhasa; Tullu; Thulu; Tal; Tilu; Thalu
",,1722768,,12.0178,75.7067,"Karnataka, Andhra Pradesh, Kerala"
1556,Kangdi,Kangdi,kangdi,India,IND,xnr,Definitely endangered,Dogaryali; Dogri Pahari;  Tokkaru; Dogri-Kangra; Bhatbali; Bhatbali; East Dogri; Kangri; Kangra,,1700000,,32.4356,76.1242,Himachal Pradesh
410,Scots,scots,escocés,United Kingdom of Great Britain and Northern Ireland,GBR,sco,Vulnerable,Lallans; Northumbrian (local name in England),,1500000,,56.2189,-3.7683,Lowland Scotland and adjacent parts of England; émigré communities in Ireland
1026,Torlak,torlak,torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB","bos, hrv, srp",Vulnerable,"Shop; dialects: Goran, Janjev, Krashovan",,1500000,,42.9644,22.1374,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Caraşova in Caraş-Severin County in the Romanian Banat"
